Date,Open,High,Low,Close,Volume,Adj Close
1993-02-01,43.9687,44.25,43.9687,44.25,480500,28.077839
1993-02-02,44.2187,44.375,44.125,44.3437,201300,28.137295
1993-02-03,44.4062,44.8437,44.375,44.8125,529400,28.434761
1993-02-04,44.9687,45.0937,44.4687,45,531500,28.553735
1993-02-05,44.9687,45.0625,44.7187,44.9687,492100,28.533875
1993-02-08,44.9687,45.125,44.9062,44.9687,596100,28.533875
1993-02-09,44.8125,44.8125,44.5625,44.6562,122100,28.335585
1993-02-10,44.6562,44.75,44.5312,44.7187,379600,28.375243
1993-02-11,44.7812,45.125,44.7812,44.9375,19500,28.514077
1993-02-12,44.875,44.875,44.5937,44.5937,42500,28.295927
1993-02-16,44.4687,44.4687,43.4062,43.4687,374800,27.582083
1993-02-17,43.4687,43.5312,43.2812,43.4375,210900,27.562286
1993-02-18,43.9375,43.9375,42.8125,43.4062,378100,27.542425
1993-02-19,43.4062,43.5625,43.3437,43.5625,34900,27.641602
1993-02-22,43.6875,43.7812,43.5625,43.7187,513600,27.740715
1993-02-23,43.8437,43.875,43.4687,43.6875,373700,27.720918
1993-02-24,43.7187,44.25,43.7187,44.25,26300,28.077839
1993-02-25,44.2187,44.375,44.125,44.3437,44500,28.137295
1993-02-26,44.4375,44.4375,44.1875,44.4062,66200,28.176953
1993-03-01,44.5625,44.5625,44.2187,44.2812,66500,28.097637
1993-03-02,44.3125,44.9375,44.25,44.9375,182400,28.514077
1993-03-03,45,45.1562,44.9375,45.125,280100,28.633051
1993-03-04,45.1875,45.1875,44.875,44.875,89500,28.474419
1993-03-05,44.9375,45.125,44.7187,44.75,40000,28.395103
1993-03-08,44.8437,45.75,44.8437,45.75,50800,29.029631
1993-03-09,45.6562,45.6875,45.5,45.5937,169300,28.930454
1993-03-10,45.5937,45.6875,45.4062,45.6875,194400,28.989973
1993-03-11,45.7187,45.8437,45.5,45.5625,70900,28.910657
1993-03-12,45.1875,45.2187,44.8125,45.0937,643600,28.61319
1993-03-15,45.0625,45.3125,45.0625,45.3125,310800,28.752025
1993-03-16,45.3125,45.4375,45.3125,45.3125,30800,28.752025
1993-03-17,45.25,45.25,44.9687,45.0312,21800,28.573533
1993-03-18,45.2187,45.5,45.2187,45.3125,59300,28.752025
1993-03-19,45.2812,45.2812,45.0312,45.0312,66900,28.708482
1993-03-22,44.5937,44.875,44.5625,44.7812,183400,28.549101
1993-03-23,44.9062,44.9375,44.8125,44.875,55200,28.608901
1993-03-24,44.8125,45.0625,44.5937,44.875,37200,28.608901
1993-03-25,44.9062,45.25,44.8437,45.1562,110100,28.788173
1993-03-26,45.125,45.1562,44.875,44.9062,101500,28.628792
1993-03-29,44.9375,45.3125,44.9375,45.0937,87100,28.748327
